1.10|1.10|1.10|1.10|1.10|1.10|13.20
2.20|2.20|2.20|2.20|2.20|2.20|11.00
3.30|3.30|3.30|3.30|3.30|3.30|5.50
4.40|4.40|4.40|4.40|4.40|4.40|8.80
5.50|5.50|5.50|5.50|5.50|5.50|6.60
6.60|6.60|6.60|6.60|6.60|6.60|1.10
7.70|7.70|7.70|7.70|7.70|7.70|12.10
8.80|8.80|8.80|8.80|8.80|8.80|9.90
9.90|9.90|9.90|9.90|9.90|9.90|7.70
11.00|11.00|11.00|11.00|11.00|11.00|2.20
12.10|12.10|12.10|12.10|12.10|12.10|16.50
13.20|13.20|13.20|13.20|13.20|13.20|4.40
14.30|14.30|14.30|14.30|14.30|14.30|15.40
15.40|15.40|15.40|15.40|15.40|15.40|3.30
16.50|16.50|16.50|16.50|16.50|16.50|14.30
